Delta	B2	power
1.9000000000000001	20	0.9522115008953419
2	2	0.6984900912038667
2	5	0.8773572002312623
2	10	0.9351677532843429
2	20	0.9489367409112652
2.1	2	0.6911765151109833
2.1	5	0.8718272616457029
2.1	10	0.9328818667643369
2.1	20	0.9507782479068813
2.2	2	0.7040729364609488
2.2	5	0.8818926043397948
2.2	10	0.9368030201081031
2.2	20	0.9539091939540046
2.3000000000000003	2	0.7014022576838939
2.3000000000000003	5	0.8811522917544198
2.3000000000000003	10	0.9344974532340372
2.3000000000000003	20	0.9561018615886184
2.4000000000000004	2	0.6996794087190821
2.4000000000000004	5	0.8813538127418038
2.4000000000000004	10	0.9365971189775162
2.4000000000000004	20	0.9546274750065042
2.5	2	0.689720604918375
2.5	5	0.8781910278680849
2.5	10	0.941135733548053
2.5	20	0.9580313291902499
2.6	2	0.7081139077363413
2.6	5	0.8825877743280298
2.6	10	0.9356217233577633
2.6	20	0.9576202020862121
2.7	2	0.6846419801008324
2.7	5	0.8864381647780432
2.7	10	0.9447191611184422
2.7	20	0.9567474199535093
2.8000000000000003	2	0.6862457987907464
2.8000000000000003	5	0.8853993176492557
2.8000000000000003	10	0.9388542102125172
2.8000000000000003	20	0.9601811312977886
2.9000000000000004	2	0.6944310001984827
2.9000000000000004	5	0.8881923083484434
2.9000000000000004	10	0.9405773143584085
2.9000000000000004	20	0.9591527728506117
3	2	0.6997449639729157
3	5	0.886585514643516
3	10	0.9432394962248564
3	20	0.9572465091007646
3.1	2	0.6926995827919072
3.1	5	0.883508850787131
3.1	10	0.9390701755402412
3.1	20	0.9561838593905518
3.2	2	0.6951946193882641
3.2	5	0.8871945974247369
3.2	10	0.9386505693107916
3.2	20	0.9575593498469414
3.3000000000000003	2	0.690758422767389
3.3000000000000003	5	0.8791772862040752
3.3000000000000003	10	0.9373672420733888
3.3000000000000003	20	0.9565181923091673
3.4000000000000004	2	0.7085068259915411
3.4000000000000004	5	0.8819202330764422
3.4000000000000004	10	0.9375477026510446
3.4000000000000004	20	0.9565565573603957
3.5	2	0.6938233865389813
3.5	5	0.8777194837902061
3.5	10	0.9392779425755117
3.5	20	0.9560939664632213
3.6	2	0.7001298879405011
3.6	5	0.8840452195274867
3.6	10	0.9400372134138066
3.6	20	0.9543651041666212
3.7	2	0.7081731674780649
3.7	5	0.8798941006047546
3.7	10	0.9373761617553692
3.7	20	0.9533359565294945
3.8000000000000003	2	0.7008898575398912
3.8000000000000003	5	0.8777246552851325
3.8000000000000003	10	0.9389651340164771
3.8000000000000003	20	0.9513635256751315
3.9000000000000004	2	0.7034814106458939
3.9000000000000004	5	0.8887316475911946
3.9000000000000004	10	0.935464957229727
3.9000000000000004	20	0.9524478315820288
4	2	0.7093881510264823
4	5	0.8841167324740851
4	10	0.9332521098928165
4	20	0.9518166273816039
4.1000000000000005	2	0.6939447294044392
4.1000000000000005	5	0.8797204376345954
4.1000000000000005	10	0.93605483923771
4.1000000000000005	20	0.9487902132927306
4.2	2	0.7041009425594317
4.2	5	0.8769659000958541
4.2	10	0.9343746979662189
4.2	20	0.9479783203591793
4.3	2	0.7057488908635601
4.3	5	0.8861336225424901
4.3	10	0.9335861452140028
4.3	20	0.9488980595738572
4.4	2	0.6841948186782532
4.4	5	0.8787037156394137
4.4	10	0.9308210447527079
4.4	20	0.946183793977181
4.5	2	0.6956220181514761
4.5	5	0.8757244140734335
4.5	10	0.9281369144314314
4.5	20	0.9420318457211568
4.6000000000000005	2	0.6975373408144405
4.6000000000000005	5	0.8771183465128994
4.6000000000000005	10	0.9260112466192607
4.6000000000000005	20	0.9404532341574012
4.7	2	0.7071568790193127
4.7	5	0.8763071929758065
4.7	10	0.9272242505729361
4.7	20	0.9384249257991473
4.800000000000001	2	0.7025076834706928
4.800000000000001	5	0.8807811749195209
