Dim_1	Dim_2	YTest	Model
-1.3865203179466217	3.219326080084077	1	1
-0.8564464728030026	0.39633246381464715	1	1
-0.5165455530642469	3.9208979385877907	1	1
-0.7310080389875487	2.2924843652854503	1	1
1.5396744046066657	0.9983352739645264	1	1
0.21879563400412702	0.9791830403508485	1	1
0.8176755978716422	1.7861001913669359	1	1
-0.42807761173857656	1.021707740636245	1	1
-0.6596415046051577	0.7101502967312093	1	1
-0.2747262858459173	1.6533513217404268	1	1
-0.766200445393947	2.1435160362431676	1	1
-0.142025725087021	2.3160276544755583	1	1
0.3155294850581205	-0.02815034307224682	1	1
-1.2129597966854695	2.091513667486239	1	1
-0.2222167298365714	2.662509415041314	1	1
1.7064268996638683	3.146085684090972	1	1
0.8581096649972112	1.9660414175851377	1	1
1.7644877909964989	3.0552539874918434	1	1
-1.656902812807927	1.0134253684664025	1	1
-0.4658319222038472	1.6641147815436463	1	1
0.824899963433565	1.917270610867358	1	1
-0.04988463929037676	2.6102942788205814	1	1
0.9509839182854891	1.8231327467535325	1	1
-1.7244570793047116	2.2841458319598904	1	1
-1.7210922508912574	3.0987733883689783	1	1
-1.7248817342644045	3.6150488162905874	1	1
-0.6555164874698662	1.153467026567652	1	1
-1.100495905765172	1.3068370233298827	1	1
-2.1193937340268305	2.4681109547633064	1	1
-3.6850845562348566	3.386767923529716	1	1
-1.5381298056991959	3.120182393109268	1	1
0.2025233176292578	1.6755972974295488	1	1
0.7615253749398303	0.8965043339711064	1	1
-1.6966818503755552	2.0996089424370963	1	1
0.5918880706544745	2.6402581304917256	1	1
-1.2868818320256177	-0.16180013090884704	1	1
-1.5447313033702743	1.689760134633757	1	1
-1.262399874811733	2.3275740055585876	1	1
1.0282890965747171	1.8611355404773902	1	1
-1.2177535139763978	3.086274135902971	1	1
1.183296227435759	2.8695261405605423	1	1
-0.11149485944286364	1.789628176920825	1	1
-0.126664940035149	2.6078836578954525	1	1
-0.6981483350386547	-0.6821164289354313	1	1
-0.5499037816035827	1.7383583774625972	1	1
-1.7621555699679239	1.2110830587200632	1	1
-3.6986127872744476	2.594165387195834	1	1
-1.1242308778257346	2.2841569352499915	1	1
-1.493670708411608	2.572517161666119	1	1
-1.7470676409986938	1.8596121051463341	1	1
-2.1913573851027333	2.9705181087398684	1	1
0.876433946684452	2.225351468168339	1	1
1.191705738722949	2.9768536586174905	1	1
-1.3215990721401811	3.2076313397249803	1	1
-1.4681833815442684	1.0744855195445593	1	1
-1.649456208521908	0.5177856291052696	1	1
-0.09666496697965138	2.7430404272148943	1	1
0.5044842223894629	1.2255217129962943	1	1
-1.4135848759264498	1.9664078133367449	1	1
-0.27502652218339085	1.095494970580786	1	1
-2.658893064661505	-0.09565125827932326	1	1
-1.4240215038582007	2.8393703231860146	1	1
-1.497269747309863	3.1609881457743967	1	1
-1.7220771664186354	2.707147669409456	1	1
-0.7544239162318781	3.3853633367981777	1	1
-1.0073632383300088	2.810365738630045	1	1
-0.78250083294095	3.8336784269613373	1	1
-0.8132073883994422	2.7351359250391902	1	1
0.0566258067522395	2.0171109496422672	1	1
-0.792616944518818	1.9505058497070358	1	1
-1.646862780716744	2.596850491978713	1	1
0.29845103571666	1.4582789359148933	1	1
-2.3920495269164266	0.6665245528982431	1	1
-0.42804214326826484	1.047544150605834	1	1
-1.8282505176320039	1.1507025801351014	1	1
-0.3006671743962169	2.4930692920198143	1	1
-1.543434870917468	2.83328033314098	1	1
-0.08136832922263719	3.0450644485538034	1	1
-0.7430116390030883	1.646293129715424	1	1
-1.4330480252636786	1.3132702483984098	1	1
-0.14736015087069373	2.9356708213753557	1	1
-2.533402423478443	2.1067186738923804	1	1
-1.1135395645089903	3.4064475215529035	1	1
-0.23673969966054262	2.6267566274921976	1	1
-2.4448545403417543	2.3706424022264443	1	1
-0.922860119172269	3.250172195346006	1	1
-2.4572691768475985	1.9959909936306401	1	1
0.19038415089140392	1.2096331374975082	1	1
-0.8649304690376489	2.481800706849475	1	1
-0.18284437968409017	1.9384157310239098	1	1
-2.0105665626926155	1.497706881386316	1	1
-1.4236315616573572	2.1049930621907023	1	1
1.0408791813637819	2.0612345592125583	1	1
-1.7501990810908021	1.3116390453066376	1	1
-0.9033760125186591	3.759883142199835	1	1
-1.44557622527919	2.670273141328725	1	1
-1.9941221579721502	4.4031248999673105	1	1
-1.4492049908891966	1.7966377432828222	1	1
-1.9733185018381973	1.8185960655134454	1	1
-0.33238080104824747	1.198098203961817	1	1
-0.018979339943619198	1.7733665085500876	1	1
-1.1158273038751414	3.334420992052527	1	1
-0.36000433068943516	1.3538650228686209	1	1
-0.1813683930967779	1.7873314265130429	1	1
-1.6682546335408783	3.06834209178763	1	1
-1.250295587140266	3.556540147248739	1	1
-1.8510296414368281	1.5788120407372463	1	1
-0.31034757309241034	2.160632506383161	1	1
0.4482708622551693	2.2057520529651704	1	1
-2.503677821764008	2.4368539704040195	1	1
-2.3938903201464776	1.1320371275274335	1	1
-1.2666028813639245	2.067594011803271	1	1
-0.4520241454371505	1.8575850030451344	1	1
-0.3339299239766724	0.8777503976220027	1	1
-0.6549031650012975	2.528032831467895	1	1
-1.5467905273838478	0.8775470621603552	1	1
-0.9481875731488043	2.363914745740654	1	1
-0.9548116107670592	0.6429584803367611	1	1
-1.2796962507809562	1.0514483914191466	1	1
-1.7843951345749471	2.184045635820567	1	1
-2.021778848412974	1.9852470842850858	1	1
0.8632793443537021	1.480463017416369	1	1
-1.2729401725919582	1.66206026278377	1	1
-2.204158883397957	2.2838968526751144	1	1
-2.365250333323269	1.4286905304476285	1	1
-1.6835776925234875	4.155617472587799	1	1
-2.316709120749722	1.4959694256219893	1	1
-3.190517636722375	3.1388626117237473	1	1
-0.09152452574800968	2.459365644230396	1	1
-3.1961838985905167	1.0707733851920103	1	1
-1.026138472108683	2.5918354726149397	1	1
0.8501659546783138	3.783049649380045	1	1
-1.1774986498818787	2.715593287126107	1	1
-1.6925032831940496	3.7033202257976554	1	1
-1.1498417967815573	2.4661242261936938	1	1
-1.0185179549012824	2.314384421224986	1	1
0.62313412002298	1.8695276349438115	1	1
1.267924628157504	-0.2217279508732275	1	1
1.7938051962901835	-2.8602887925338965	1	1
-1.3447077244504717	-1.464913557198275	1	1
0.2023792095102739	-1.4685387027078394	1	1
0.6075911009612842	-3.646459926087539	1	1
1.4508014629989645	-1.4613866327303306	1	1
-2.3239051166478912	-3.1070552276208523	1	1
