Model	Power	False_Discovery	Accuracy
RP-LDA	0.18463756971241657	1.8153624302875815	0.5529953917050692
RP-QDA	1.6497941435158885	0.3502058564841078	0.8986175115207373
RP-KNN	1.582994990734556	0.4170050092654453	0.9078341013824884
SIR	0.41719552773020996	1.58280447226979	0.5391705069124424
SAVE	1.4248007791602668	0.5751992208397333	0.8824884792626728
PHD	1.2348921683289438	0.7651078316710563	0.868663594470046
PCA	1.940717464624164	0.059282535375837005	0.9354838709677419
Lt-SNE	0.013731025990973254	1.986268974009027	0.4769585253456221
