Model	Power	False_Discovery	Accuracy
RP-LDA	0.3121862407067267	0.02127259049360637	0.9631336405529954
RP-QDA	0.30702391360530196	0.0214322500946814	0.9493087557603687
RP-KNN	0.3240720764292962	0.02090498732692897	0.9585253456221198
SIR	0.09031011670914829	0.028134738658479947	0.7511520737327189
SAVE	0.09829596472610923	0.02788775366826466	0.716589861751152
PHD	0.035317532787462615	0.02983554022306817	0.6543778801843319
PCA	0.6189660057941421	0.011784556521830657	0.9493087557603687
